UF,Valor Transferido
DF,"112.917.749,13"
RR,"321.508.154,34"
AP,"362.831.744,05"
AC,"392.187.440,39"
RO,"477.507.737,39"
MS,"570.938.582,59"
TO,"629.107.163,03"
SE,"629.107.982,81"
ES,"692.653.584,83"
AM,"742.641.368,62"
MU,"803.215.204,77"
RN,"807.724.401,63"
PI,"921.925.369,76"
SC,"977.864.151,21"
AL,"1.051.458.401,28"
MT,"1.052.574.355,11"
PB,"1.054.317.506,69"
GO,"1.090.566.845,39"
PE,"1.475.708.534,70"
RJ,"1.627.008.759,83"
RS,"1.671.371.742,24"
CE,"1.715.910.878,35"
PR,"1.770.805.591,07"
MA,"1.780.260.259,67"
PA,"1.903.299.415,84"
BA,"2.777.988.546,97"
MG,"3.100.509.000,26"
SP,"3.113.536.467,09"
-3,"10.003.163.098,81"
